timestamp,event_name,event_type,department,rating,feedback_comment,satisfaction_bucket,comment_length,word_count,sentiment_score,sentiment_label
28-10-2024 23:08,Rhythm & Beats Night,Cultural Fest,ECE,5,"Rhythm & Beats Night (Cultural Fest) was clear slides, hands-on and practical.",High,78,12,0.3818,Positive
17-08-2025 21:51,ByteBlast Coding Games,Tech Fest,MBA,4,"ByteBlast Coding Games (Tech Fest) was very engaging, inspiring, clear slides.",High,78,11,0.8241,Positive
23-01-2025 03:18,The Entrepreneur’s Journey,Guest Lecture,CSE,3,"The Entrepreneur’s Journey (Guest Lecture) was room was adequate, timing was manageable.",Medium,88,12,0.2263,Positive
09-11-2024 21:30,Web Dev Bootcamp,Workshop,ECE,5,"Web Dev Bootcamp (Workshop) was supportive volunteers, clear slides.",High,68,9,0.5859,Positive
05-01-2025 01:43,Colours of India,Cultural Fest,MBA,5,"Colours of India (Cultural Fest) was interactive sessions, supportive volunteers.",High,81,10,0.296,Positive
09-02-2025 05:20,Trends in 5G,Seminar,ECE,5,"Trends in 5G (Seminar) was hands-on and practical, well organized, interactive sessions.",High,88,12,0.2732,Positive
01-06-2025 04:39,Product Management Myths,Guest Lecture,ME,3,"Product Management Myths (Guest Lecture) was room was adequate, topics were fine.",Medium,81,12,0.4019,Positive
28-05-2025 18:05,Rhythm & Beats Night,Cultural Fest,ECE,4,"Rhythm & Beats Night (Cultural Fest) was supportive volunteers, very engaging.",High,78,11,0.5984,Positive
12-09-2024 21:35,Leadership & Teams,Seminar,CHE,4,"Leadership & Teams (Seminar) was good pace, very engaging.",High,58,9,0.6801,Positive
20-02-2025 05:47,FutureTech Showcase,Tech Fest,CE,4,"FutureTech Showcase (Tech Fest) was interactive sessions, excellent speakers.",High,77,9,0.5719,Positive
21-03-2025 17:23,Campus Problem Solver,Hackathon,ME,4,"Campus Problem Solver (Hackathon) was very engaging, supportive volunteers.",High,75,9,0.3551,Positive
16-08-2025 18:36,Product Management Myths,Guest Lecture,IT,5,"Product Management Myths (Guest Lecture) was hands-on and practical, very engaging.",High,83,11,0.4005,Positive
26-01-2025 06:07,Campus AI Day,Tech Fest,CE,4,"Campus AI Day (Tech Fest) was inspiring, great venue.",High,53,9,0.7845,Positive
14-03-2025 22:29,Intro to Machine Learning,Workshop,CSE,3,"Intro to Machine Learning (Workshop) was room was adequate, average experience.",Medium,79,11,0.2263,Positive
05-09-2024 19:08,FutureTech Showcase,Tech Fest,MBA,5,"FutureTech Showcase (Tech Fest) was interactive sessions, clear slides, great venue.",High,84,11,0.7717,Positive
17-10-2024 02:39,Green Energy Futures,Seminar,AE,3,"Green Energy Futures (Seminar) was could be more interactive, okay overall.",Medium,75,11,0.507,Positive
08-03-2025 02:24,Design Thinking in Practice,Seminar,MBA,5,"Design Thinking in Practice (Seminar) was useful takeaways, clear slides, excellent speakers.",High,93,12,0.8481,Positive
09-08-2025 04:59,Trends in 5G,Seminar,IT,5,"Trends in 5G (Seminar) was clear slides, supportive volunteers.",High,63,9,0.5859,Positive
07-07-2025 22:54,UX Research in the Wild,Guest Lecture,CE,5,"UX Research in the Wild (Guest Lecture) was good pace, excellent speakers, great venue.",High,87,14,0.8934,Positive
17-03-2025 04:30,IoT & Robotics Arena,Tech Fest,EEE,4,"IoT & Robotics Arena (Tech Fest) was interactive sessions, good pace, great venue.",High,82,13,0.7906,Positive
04-07-2025 02:31,Colours of India,Cultural Fest,CE,4,"Colours of India (Cultural Fest) was interactive sessions, good pace, very engaging.",High,84,12,0.6801,Positive
15-06-2025 02:53,Campus Problem Solver,Hackathon,CSE,4,"Campus Problem Solver (Hackathon) was hands-on and practical, learnt a lot, good pace.",High,86,13,0.0516,Positive
10-12-2024 01:42,The Future of EVs,Seminar,BIO,3,"The Future of EVs (Seminar) was topics were fine, room was adequate.",Medium,68,12,0.4019,Positive
09-02-2025 19:04,Startup Funding 101,Guest Lecture,ECE,5,"Startup Funding 101 (Guest Lecture) was clear slides, interactive sessions, useful takeaways.",High,93,12,0.6705,Positive
03-09-2024 17:27,Cybersecurity Basics,Workshop,EEE,4,"Cybersecurity Basics (Workshop) was learnt a lot, very engaging.",High,64,9,0.4005,Positive
30-11-2024 04:56,Campus Problem Solver,Hackathon,ECE,5,"Campus Problem Solver (Hackathon) was good pace, interactive sessions, useful takeaways.",High,88,11,0.4767,Positive
24-07-2025 04:12,Sustainability Hack Night,Hackathon,IT,2,Sustainability Hack Night (Hackathon) had issues with seating.,Low,62,8,0,Neutral
15-05-2025 00:15,Campus AI Day,Tech Fest,CE,1,Campus AI Day (Tech Fest) had issues with projector.,Low,52,9,0,Neutral
05-06-2025 02:32,Colours of India,Cultural Fest,ECE,4,"Colours of India (Cultural Fest) was very engaging, inspiring, clear slides.",High,76,11,0.8241,Positive
12-11-2024 05:07,Campus Problem Solver,Hackathon,CHE,2,"Campus Problem Solver (Hackathon) had issues with too advanced, too basic.",Low,74,11,-0.1779,Negative
11-01-2025 06:01,Sustainability Hack Night,Hackathon,EEE,1,Sustainability Hack Night (Hackathon) had issues with air conditioning.,Low,71,9,0,Neutral
20-12-2024 21:33,Fusion Music Evening,Cultural Fest,CE,4,"Fusion Music Evening (Cultural Fest) was inspiring, excellent speakers, hands-on and practical.",High,95,12,0.7579,Positive
07-03-2025 04:21,Leadership & Teams,Seminar,ECE,5,"Leadership & Teams (Seminar) was very engaging, learnt a lot.",High,61,10,0.4005,Positive
17-04-2025 23:15,Startup Funding 101,Guest Lecture,ECE,4,"Startup Funding 101 (Guest Lecture) was good pace, great venue, clear slides.",High,77,12,0.8625,Positive
05-03-2025 00:12,Power BI Essentials,Workshop,IT,1,"Power BI Essentials (Workshop) had issues with projector, timing, crowd.",Low,72,10,0,Neutral
25-05-2025 04:59,Careers in Data,Seminar,IT,3,"Careers in Data (Seminar) was slides were decent, topics were fine.",Medium,67,11,0.2023,Positive
27-04-2025 17:36,Dance Mania,Cultural Fest,CE,5,"Dance Mania (Cultural Fest) was learnt a lot, hands-on and practical, good pace.",High,80,13,0.4404,Positive
18-04-2025 19:51,Design Thinking in Practice,Seminar,IT,3,"Design Thinking in Practice (Seminar) was room was adequate, average experience.",Medium,80,11,0.2263,Positive
29-03-2025 20:07,Rhythm & Beats Night,Cultural Fest,IT,5,"Rhythm & Beats Night (Cultural Fest) was excellent speakers, interactive sessions.",High,82,11,0.5719,Positive
11-04-2025 22:33,Smart City Hack,Hackathon,CSE,5,"Smart City Hack (Hackathon) was good pace, great venue, learnt a lot.",High,69,12,0.8658,Positive
25-05-2025 17:34,FinTech Innovation Sprint,Hackathon,IT,4,"FinTech Innovation Sprint (Hackathon) was excellent speakers, inspiring, well organized.",High,88,10,0.8807,Positive
02-12-2024 17:51,Cybersecurity Basics,Workshop,ECE,4,"Cybersecurity Basics (Workshop) was well organized, learnt a lot.",High,65,9,0.2732,Positive
12-12-2024 00:56,Intro to Machine Learning,Workshop,ME,4,"Intro to Machine Learning (Workshop) was interactive sessions, excellent speakers, useful takeaways.",High,100,12,0.765,Positive
17-10-2024 02:13,Careers in Data,Seminar,ME,4,"Careers in Data (Seminar) was very engaging, hands-on and practical.",High,68,10,0.4005,Positive
22-06-2025 05:05,Leadership & Teams,Seminar,IT,4,"Leadership & Teams (Seminar) was supportive volunteers, learnt a lot, excellent speakers.",High,89,12,0.7096,Positive
08-06-2025 05:14,Startup Funding 101,Guest Lecture,ECE,5,"Startup Funding 101 (Guest Lecture) was interactive sessions, useful takeaways, excellent speakers.",High,99,12,0.765,Positive
19-07-2025 22:12,Leadership & Teams,Seminar,IT,2,"Leadership & Teams (Seminar) had issues with audio, food, too advanced.",Low,71,11,0.25,Positive
14-07-2025 00:57,Sustainability Hack Night,Hackathon,ECE,3,"Sustainability Hack Night (Hackathon) was topics were fine, could be more interactive.",Medium,86,12,0.2023,Positive
18-04-2025 00:04,Power BI Essentials,Workshop,ME,4,"Power BI Essentials (Workshop) was useful takeaways, clear slides, inspiring.",High,77,10,0.8074,Positive
12-01-2025 00:27,The Entrepreneur’s Journey,Guest Lecture,EEE,1,"The Entrepreneur’s Journey (Guest Lecture) had issues with registration, food.",Low,78,10,0,Neutral
04-02-2025 19:43,Campus Problem Solver,Hackathon,AE,4,"Campus Problem Solver (Hackathon) was great venue, well organized, inspiring.",High,77,10,0.743,Positive
02-06-2025 17:45,Web Dev Bootcamp,Workshop,EEE,5,"Web Dev Bootcamp (Workshop) was hands-on and practical, useful takeaways, supportive volunteers.",High,96,12,0.6249,Positive
30-04-2025 02:00,Python for Data Science,Workshop,CE,3,"Python for Data Science (Workshop) was room was adequate, topics were fine.",Medium,75,12,0.4019,Positive
19-01-2025 20:37,Cybersecurity Basics,Workshop,BIO,4,"Cybersecurity Basics (Workshop) was inspiring, well organized, excellent speakers.",High,82,9,0.8225,Positive
27-02-2025 00:47,Startup Funding 101,Guest Lecture,EEE,3,"Startup Funding 101 (Guest Lecture) was room was adequate, timing was manageable.",Medium,81,12,0.2263,Positive
25-01-2025 21:26,Stagecraft Theatre,Cultural Fest,IT,5,"Stagecraft Theatre (Cultural Fest) was great venue, inspiring, hands-on and practical.",High,86,11,0.7845,Positive
28-11-2024 20:59,IoT & Robotics Arena,Tech Fest,CE,4,"IoT & Robotics Arena (Tech Fest) was excellent speakers, clear slides, very engaging.",High,85,13,0.8399,Positive
16-12-2024 22:23,FinTech Innovation Sprint,Hackathon,AE,4,"FinTech Innovation Sprint (Hackathon) was excellent speakers, learnt a lot, hands-on and practical.",High,99,13,0.743,Positive
19-09-2024 01:30,Trends in 5G,Seminar,CHE,4,"Trends in 5G (Seminar) was hands-on and practical, well organized.",High,66,10,0.2732,Positive
15-01-2025 00:42,Startup Funding 101,Guest Lecture,BIO,5,"Startup Funding 101 (Guest Lecture) was well organized, useful takeaways.",High,73,10,0.6124,Positive
19-10-2024 18:37,FinTech Innovation Sprint,Hackathon,ME,5,"FinTech Innovation Sprint (Hackathon) was hands-on and practical, inspiring.",High,76,9,0.6597,Positive
18-09-2024 19:21,24hr HealthTech Hack,Hackathon,AE,3,"24hr HealthTech Hack (Hackathon) was room was adequate, slides were decent.",Medium,75,11,0.2263,Positive
24-03-2025 02:50,Stagecraft Theatre,Cultural Fest,ECE,5,"Stagecraft Theatre (Cultural Fest) was excellent speakers, clear slides.",High,72,9,0.743,Positive
22-01-2025 02:39,Colours of India,Cultural Fest,CHE,2,"Colours of India (Cultural Fest) had issues with too basic, projector.",Low,70,11,0,Neutral
12-10-2024 05:25,Leadership & Teams,Seminar,AE,2,Leadership & Teams (Seminar) had issues with crowd.,Low,51,8,0,Neutral
19-11-2024 01:16,Startup Funding 101,Guest Lecture,EEE,4,"Startup Funding 101 (Guest Lecture) was very engaging, learnt a lot.",High,68,11,0.4005,Positive
18-01-2025 17:26,Python for Data Science,Workshop,IT,4,"Python for Data Science (Workshop) was supportive volunteers, useful takeaways, inspiring.",High,90,11,0.7845,Positive
05-01-2025 06:02,Design Thinking in Practice,Seminar,EEE,5,"Design Thinking in Practice (Seminar) was excellent speakers, interactive sessions, learnt a lot.",High,97,13,0.5719,Positive
19-07-2025 20:10,The Entrepreneur’s Journey,Guest Lecture,CE,5,"The Entrepreneur’s Journey (Guest Lecture) was excellent speakers, clear slides, learnt a lot.",High,94,13,0.743,Positive
27-01-2025 02:59,Green Energy Futures,Seminar,ECE,3,"Green Energy Futures (Seminar) was okay overall, average experience.",Medium,68,9,0.4588,Positive
15-08-2025 23:29,Stagecraft Theatre,Cultural Fest,BIO,4,"Stagecraft Theatre (Cultural Fest) was inspiring, hands-on and practical.",High,73,9,0.4215,Positive
11-09-2024 23:59,Dance Mania,Cultural Fest,BIO,1,"Dance Mania (Cultural Fest) had issues with food, crowd.",Low,56,9,0,Neutral
18-12-2024 04:05,Leadership & Teams,Seminar,EEE,3,"Leadership & Teams (Seminar) was okay overall, slides were decent.",Medium,66,10,0.2263,Positive
20-11-2024 00:45,Dance Mania,Cultural Fest,CSE,2,"Dance Mania (Cultural Fest) had issues with wifi, crowd, timing.",Low,64,10,0,Neutral
03-04-2025 04:04,Space Tech & You,Guest Lecture,EEE,3,"Space Tech & You (Guest Lecture) was average experience, timing was manageable.",Medium,79,12,0,Neutral
08-02-2025 22:54,24hr HealthTech Hack,Hackathon,BIO,3,"24hr HealthTech Hack (Hackathon) was could be more interactive, topics were fine.",Medium,81,12,0.2023,Positive
28-07-2025 00:04,ByteBlast Coding Games,Tech Fest,MBA,5,"ByteBlast Coding Games (Tech Fest) was supportive volunteers, inspiring, hands-on and practical.",High,96,12,0.6124,Positive
29-12-2024 22:19,Rhythm & Beats Night,Cultural Fest,BIO,3,"Rhythm & Beats Night (Cultural Fest) was okay overall, could be more interactive.",Medium,81,13,0.2263,Positive
15-04-2025 23:15,Campus Problem Solver,Hackathon,CSE,3,"Campus Problem Solver (Hackathon) was room was adequate, timing was manageable.",Medium,79,11,-0.2023,Negative
04-12-2024 21:47,Figma for Beginners,Workshop,MBA,4,"Figma for Beginners (Workshop) was interactive sessions, inspiring, well organized.",High,83,10,0.5994,Positive
23-12-2024 04:22,Web Dev Bootcamp,Workshop,BIO,5,"Web Dev Bootcamp (Workshop) was excellent speakers, well organized, useful takeaways.",High,85,11,0.8271,Positive
15-04-2025 18:53,Leadership & Teams,Seminar,CSE,4,"Leadership & Teams (Seminar) was excellent speakers, learnt a lot, supportive volunteers.",High,89,12,0.7096,Positive
25-12-2024 00:47,Power BI Essentials,Workshop,EEE,5,"Power BI Essentials (Workshop) was good pace, inspiring, interactive sessions.",High,78,10,0.6908,Positive
22-03-2025 23:11,Power BI Essentials,Workshop,CE,5,"Power BI Essentials (Workshop) was excellent speakers, hands-on and practical.",High,78,10,0.5719,Positive
15-06-2025 03:43,Stagecraft Theatre,Cultural Fest,CSE,4,"Stagecraft Theatre (Cultural Fest) was supportive volunteers, hands-on and practical, useful takeaways.",High,103,12,0.6249,Positive
27-05-2025 23:41,Power BI Essentials,Workshop,CHE,4,"Power BI Essentials (Workshop) was great venue, supportive volunteers, clear slides.",High,84,11,0.836,Positive
13-09-2024 22:59,Green Energy Futures,Seminar,CE,2,"Green Energy Futures (Seminar) had issues with venue, registration, projector.",Low,78,10,0.2732,Positive
08-11-2024 00:14,Sustainability Hack Night,Hackathon,IT,3,"Sustainability Hack Night (Hackathon) was room was adequate, slides were decent.",Medium,80,11,0.2263,Positive
13-10-2024 02:10,Figma for Beginners,Workshop,AE,2,"Figma for Beginners (Workshop) had issues with food, too basic.",Low,63,10,0,Neutral
20-04-2025 05:28,24hr HealthTech Hack,Hackathon,ME,5,"24hr HealthTech Hack (Hackathon) was interactive sessions, very engaging, excellent speakers.",High,93,11,0.7698,Positive
07-02-2025 04:06,Leadership & Teams,Seminar,IT,3,"Leadership & Teams (Seminar) was room was adequate, okay overall.",Medium,65,10,0.4215,Positive
26-09-2024 20:52,Fusion Music Evening,Cultural Fest,MBA,5,"Fusion Music Evening (Cultural Fest) was clear slides, well organized, useful takeaways.",High,88,12,0.765,Positive
13-07-2025 05:07,Product Management Myths,Guest Lecture,CE,5,"Product Management Myths (Guest Lecture) was good pace, excellent speakers.",High,75,10,0.765,Positive
05-09-2024 17:32,Campus AI Day,Tech Fest,ME,3,"Campus AI Day (Tech Fest) was room was adequate, could be more interactive.",Medium,75,13,0.2263,Positive
04-11-2024 20:45,FutureTech Showcase,Tech Fest,MBA,3,"FutureTech Showcase (Tech Fest) was could be more interactive, topics were fine.",Medium,80,12,0.2023,Positive
02-10-2024 03:07,Campus Problem Solver,Hackathon,ME,2,Campus Problem Solver (Hackathon) had issues with seating.,Low,58,8,-0.4019,Negative
19-12-2024 00:52,Campus Problem Solver,Hackathon,CE,2,"Campus Problem Solver (Hackathon) had issues with crowd, seating.",Low,65,9,-0.4019,Negative
04-08-2025 01:22,The Future of EVs,Seminar,EEE,5,"The Future of EVs (Seminar) was inspiring, hands-on and practical.",High,66,10,0.4215,Positive
15-07-2025 23:56,Campus AI Day,Tech Fest,MBA,3,"Campus AI Day (Tech Fest) was timing was manageable, could be more interactive.",Medium,79,13,0,Neutral
15-10-2024 20:36,The Future of EVs,Seminar,EEE,4,"The Future of EVs (Seminar) was good pace, inspiring.",High,53,9,0.6908,Positive
20-01-2025 18:05,Stagecraft Theatre,Cultural Fest,AE,3,"Stagecraft Theatre (Cultural Fest) was could be more interactive, room was adequate.",Medium,84,12,0.2263,Positive
09-08-2025 05:59,Space Tech & You,Guest Lecture,EEE,3,"Space Tech & You (Guest Lecture) was okay overall, timing was manageable.",Medium,73,12,0.2263,Positive
13-12-2024 03:24,Cloud & DevOps Fair,Tech Fest,BIO,4,"Cloud & DevOps Fair (Tech Fest) was learnt a lot, useful takeaways, great venue.",High,80,14,0.8519,Positive
11-09-2024 22:02,Stagecraft Theatre,Cultural Fest,ME,4,"Stagecraft Theatre (Cultural Fest) was interactive sessions, supportive volunteers.",High,83,9,0.296,Positive
07-10-2024 21:32,24hr HealthTech Hack,Hackathon,AE,2,"24hr HealthTech Hack (Hackathon) had issues with projector, seating.",Low,68,9,0,Neutral
25-05-2025 22:45,Space Tech & You,Guest Lecture,ME,1,Space Tech & You (Guest Lecture) had issues with seating.,Low,57,10,0,Neutral
20-10-2024 00:16,Stagecraft Theatre,Cultural Fest,ME,4,"Stagecraft Theatre (Cultural Fest) was inspiring, hands-on and practical, great venue.",High,86,11,0.7845,Positive
25-02-2025 19:02,Intro to Machine Learning,Workshop,IT,3,"Intro to Machine Learning (Workshop) was slides were decent, timing was manageable.",Medium,83,12,0,Neutral
02-08-2025 04:55,24hr HealthTech Hack,Hackathon,EEE,2,"24hr HealthTech Hack (Hackathon) had issues with food, too basic, audio.",Low,72,11,0,Neutral
20-04-2025 17:51,Leadership & Teams,Seminar,IT,5,"Leadership & Teams (Seminar) was excellent speakers, interactive sessions, learnt a lot.",High,88,12,0.5719,Positive
14-07-2025 01:10,Stagecraft Theatre,Cultural Fest,AE,5,"Stagecraft Theatre (Cultural Fest) was interactive sessions, excellent speakers.",High,80,9,0.5719,Positive
14-09-2024 17:31,Product Management Myths,Guest Lecture,IT,2,Product Management Myths (Guest Lecture) had issues with seating.,Low,65,9,0,Neutral
09-03-2025 00:35,24hr HealthTech Hack,Hackathon,ECE,5,"24hr HealthTech Hack (Hackathon) was clear slides, very engaging.",High,65,9,0.6478,Positive
23-07-2025 19:05,UX Research in the Wild,Guest Lecture,CHE,4,"UX Research in the Wild (Guest Lecture) was useful takeaways, very engaging, good pace.",High,87,14,0.8304,Positive
10-08-2025 22:25,Campus Problem Solver,Hackathon,IT,3,"Campus Problem Solver (Hackathon) was could be more interactive, okay overall.",Medium,78,11,-0.1335,Negative
27-02-2025 02:09,Sustainability Hack Night,Hackathon,CE,2,"Sustainability Hack Night (Hackathon) had issues with food, air conditioning.",Low,77,10,0,Neutral
24-10-2024 00:17,Product Management Myths,Guest Lecture,CSE,1,"Product Management Myths (Guest Lecture) had issues with wifi, registration.",Low,76,10,0,Neutral
08-02-2025 20:20,Startup Funding 101,Guest Lecture,AE,3,"Startup Funding 101 (Guest Lecture) was okay overall, slides were decent.",Medium,73,11,0.2263,Positive
19-12-2024 23:01,Colours of India,Cultural Fest,ECE,5,"Colours of India (Cultural Fest) was useful takeaways, learnt a lot.",High,68,11,0.4404,Positive
29-12-2024 05:23,Figma for Beginners,Workshop,CSE,5,"Figma for Beginners (Workshop) was very engaging, supportive volunteers, clear slides.",High,86,11,0.7764,Positive
22-12-2024 02:32,IoT & Robotics Arena,Tech Fest,CSE,5,"IoT & Robotics Arena (Tech Fest) was well organized, great venue.",High,65,11,0.7351,Positive
18-05-2025 18:59,ByteBlast Coding Games,Tech Fest,EEE,5,"ByteBlast Coding Games (Tech Fest) was very engaging, good pace.",High,64,10,0.707,Positive
12-05-2025 02:18,Campus AI Day,Tech Fest,BIO,3,"Campus AI Day (Tech Fest) was slides were decent, could be more interactive.",Medium,76,13,0,Neutral
15-05-2025 21:41,Campus Problem Solver,Hackathon,CE,5,"Campus Problem Solver (Hackathon) was supportive volunteers, interactive sessions.",High,82,9,-0.128,Negative
01-05-2025 05:10,AI Ethics in Industry,Guest Lecture,CSE,4,"AI Ethics in Industry (Guest Lecture) was good pace, supportive volunteers, excellent speakers.",High,95,13,0.8316,Positive
25-10-2024 21:51,24hr HealthTech Hack,Hackathon,ECE,4,"24hr HealthTech Hack (Hackathon) was useful takeaways, very engaging, excellent speakers.",High,89,11,0.8615,Positive
20-05-2025 21:41,The Entrepreneur’s Journey,Guest Lecture,CHE,2,"The Entrepreneur’s Journey (Guest Lecture) had issues with audio, venue, crowd.",Low,79,11,0,Neutral
24-07-2025 04:08,Dance Mania,Cultural Fest,IT,5,"Dance Mania (Cultural Fest) was supportive volunteers, excellent speakers.",High,74,9,0.7096,Positive
16-12-2024 23:33,Art & Craft Pop-up,Cultural Fest,CE,3,"Art & Craft Pop-up (Cultural Fest) was topics were fine, slides were decent.",Medium,76,13,0.2023,Positive
30-01-2025 03:28,Sustainability Hack Night,Hackathon,IT,2,"Sustainability Hack Night (Hackathon) had issues with food, audio, venue.",Low,73,10,0,Neutral
